,,
,,
,,
Time,Hop 1 (192.168.2.254),Hop 2 (BTS_Imajo  -  192.168.152.115)
2023-07-13 14:25:57,7.28,2.86
2023-07-13 14:25:59,2.93,19.76
2023-07-13 14:26:02,1.71,10.38
2023-07-13 14:26:02,1.71,10.38
2023-07-13 14:26:04,2.5,9.26
2023-07-13 14:26:07,3.47,28.46
2023-07-13 14:26:09,2.33,10.78
2023-07-13 14:26:12,8.51,12.67
2023-07-13 14:26:14,4.39,12.26
2023-07-13 14:26:17,11.96,22.07
2023-07-13 14:26:19,3.64,22.14
2023-07-13 14:26:22,1.91,20.28
2023-07-13 14:26:24,6.57,18.3
2023-07-13 14:26:27,3.27,21.34
2023-07-13 14:26:29,3.69,6.3
2023-07-13 14:26:32,3.17,11.33
2023-07-13 14:26:34,5.41,10.91
2023-07-13 14:26:37,2.33,4.53
2023-07-13 14:26:39,2.18,9.59
2023-07-13 14:26:42,2.12,15.25
2023-07-13 14:26:44,2.15,6.41
2023-07-13 14:26:47,2.68,7.87
2023-07-13 14:26:49,2.15,13.9
2023-07-13 14:26:52,4.81,8.12
2023-07-13 14:26:54,3.38,9.9
2023-07-13 14:26:57,19.92,77.91
2023-07-13 14:26:59,5.75,10.86
2023-07-13 14:27:02,2.62,7.71
2023-07-13 14:27:04,11.62,14.31
2023-07-13 14:27:07,3.35,15.79
2023-07-13 14:27:09,3.76,8.19
2023-07-13 14:27:12,1.98,2.29
2023-07-13 14:27:14,2.05,12.01
2023-07-13 14:27:17,4.11,26.39
2023-07-13 14:27:19,6.12,11.35
2023-07-13 14:27:22,6.39,4.87
2023-07-13 14:27:24,2.44,18.12
2023-07-13 14:27:27,3.27,12.15
2023-07-13 14:27:29,2.3,6.68
2023-07-13 14:27:32,3.03,9.24
2023-07-13 14:27:34,2.14,17.86
2023-07-13 14:27:37,3.69,3.84
2023-07-13 14:27:39,2.28,4.99
2023-07-13 14:27:42,2.2,3.73
2023-07-13 14:27:44,3.57,8.37
2023-07-13 14:27:47,3.38,12.2
2023-07-13 14:27:49,4.08,11.12
2023-07-13 14:27:52,3.71,22.19
2023-07-13 14:27:54,2.2,10.97
2023-07-13 14:27:57,3.35,10.14
2023-07-13 14:27:59,2.95,13.05
2023-07-13 14:28:02,10.71,18.6
2023-07-13 14:28:04,1.85,4.49
2023-07-13 14:28:07,2.04,8.03
2023-07-13 14:28:09,2.11,16.05
2023-07-13 14:28:12,2.49,5.95
2023-07-13 14:28:14,5.03,8.37
2023-07-13 14:28:17,3.72,7.33
2023-07-13 14:28:19,10.18,5.07
2023-07-13 14:28:22,3.16,11.01
2023-07-13 14:28:24,2.23,10.65
2023-07-13 14:28:27,3.91,17.26
2023-07-13 14:28:29,2.35,4.96
2023-07-13 14:28:32,4.24,20.27
2023-07-13 14:28:34,17.64,15.24
2023-07-13 14:28:37,4.04,8.36
2023-07-13 14:28:39,2.55,3.05
2023-07-13 14:28:42,2,5.81
2023-07-13 14:28:44,5.05,2.3
2023-07-13 14:28:47,2.45,6.69
2023-07-13 14:28:49,3.8,11.02
2023-07-13 14:28:52,2.55,10.32
2023-07-13 14:28:54,3.4,22.82
2023-07-13 14:28:57,4.13,15.3
2023-07-13 14:28:59,*,*
2023-07-13 14:29:02,1288,1315
2023-07-13 14:29:04,33.81,111.17
2023-07-13 14:29:07,13.38,142.73
2023-07-13 14:29:09,3.12,22.96
2023-07-13 14:29:12,201.05,230.99
2023-07-13 14:29:14,*,184.43
2023-07-13 14:29:17,1.96,6.11
2023-07-13 14:29:19,133,161.24
2023-07-13 14:29:22,1975.27,2017.28
2023-07-13 14:29:24,388.3,1262.31
2023-07-13 14:29:27,396.03,*
2023-07-13 14:29:29,*,*
2023-07-13 14:29:32,*,*
2023-07-13 14:29:34,*,*
2023-07-13 14:29:37,*,*
2023-07-13 14:29:39,*,*
2023-07-13 14:29:42,*,1140.21
2023-07-13 14:29:44,7.16,34.4
2023-07-13 14:29:47,*,*
2023-07-13 14:29:49,*,*
2023-07-13 14:29:52,*,*
2023-07-13 14:29:54,1406.21,1466.16
2023-07-13 14:29:57,20.31,9.93
2023-07-13 14:29:59,735.23,1153.26
2023-07-13 14:30:02,15.43,7.46
2023-07-13 14:30:04,3.85,14.1
2023-07-13 14:30:07,1227.35,1269.49
2023-07-13 14:30:09,2.31,12.19
2023-07-13 14:30:12,109.15,151.31
2023-07-13 14:30:14,1.98,6.54
2023-07-13 14:30:17,2.55,7.34
2023-07-13 14:30:19,3.42,13.72
2023-07-13 14:30:22,5.77,11.54
2023-07-13 14:30:24,2.69,15.9
2023-07-13 14:30:27,3.65,7.21
2023-07-13 14:30:29,2,2.36
2023-07-13 14:30:32,3.01,13.7
2023-07-13 14:30:34,1.84,14.95
2023-07-13 14:30:37,2.87,8.57
2023-07-13 14:30:39,4.29,38.44
2023-07-13 14:30:42,29.48,8.29
2023-07-13 14:30:44,3.16,4.93
2023-07-13 14:30:47,1.84,7.28
2023-07-13 14:30:49,60.42,97.12
2023-07-13 14:30:52,14.7,5.23
2023-07-13 14:30:54,5.1,8.29
2023-07-13 14:30:57,2.11,5.06
2023-07-13 14:30:57,2.11,5.06
